pre_int,pre_uv,pre_percomp,time_spent,course_ID,final_grade,subject,enrollment_reason,semester,enrollment_status,cogproc,social,posemo,negemo,n,section,post_int,post_uv,post_percomp,WC
3.8,3.6666666666666665,5,719.2833,PhysA-S216-01,89.86111111,PhysA,Scheduling Conflict,S216,Approved/Enrolled,17.242631578947368,6.893157894736842,4.3373684210526315,0.4326315789473684,19,01,NA,NA,NA,58.89473684210526
3.2,4,3,1359.033,FrScA-S216-01,91.4221219,FrScA,Course Unavailable at Local School,S216,Approved/Enrolled,16.507894736842104,5.210263157894737,5.203157894736842,0.4971052631578947,38,01,NA,NA,NA,89.23684210526316
5,4.666666666666667,3.5,801.2336,FrScA-S116-02,83.41324201,FrScA,Course Unavailable at Local School,S116,Approved/Enrolled,11.911666666666667,5.383055555555556,5.206666666666667,0.5291666666666667,36,02,NA,NA,NA,93.30555555555556
4.8,4.333333333333333,4.5,4094.9995,OcnA-S116-01,90.70351759,OcnA,Course Unavailable at Local School,S116,Approved/Enrolled,15.268181818181818,7.320909090909091,7.848636363636364,0.7354545454545455,22,01,5,4.666666666666667,5,86.72727272727273
4.8,4,3.5,39.7504,OcnA-S216-01,90.95979899,OcnA,Course Unavailable at Local School,S216,Approved/Enrolled,15.205384615384617,7.169230769230769,3.3269230769230766,0.9423076923076923,13,01,NA,NA,NA,88.6923076923077
5,2.6666666666666665,5,583.2498,FrScA-S116-01,92.46575342,FrScA,Course Unavailable at Local School,S116,Approved/Enrolled,17.981025641025642,3.9615384615384612,4.371025641025641,0.6333333333333333,39,01,NA,NA,NA,49.30769230769231
4,3.6666666666666665,4,969.4666,OcnA-S116-02,94.57956449,OcnA,Course Unavailable at Local School,S116,Approved/Enrolled,19.479,6.124,3.6109999999999998,0.693,10,02,NA,NA,NA,64.9
4.2,3.3333333333333335,4,3331.6169,BioA-S116-01,87.24408602,BioA,Learning Preference of the Student,S116,Approved/Enrolled,19.79153846153846,8.526153846153846,3.5246153846153847,1.2969230769230768,13,01,NA,NA,NA,100.23076923076923
4.6,2.6666666666666665,4,1966.0169,FrScA-S116-02,64.76027397,FrScA,Course Unavailable at Local School,S116,Approved/Enrolled,14.374827586206896,6.150689655172414,5.743103448275862,1.2803448275862068,29,02,NA,NA,NA,52.86206896551724
5,3.6666666666666665,4.5,3022.5333,FrScA-S216-01,83.06997743,FrScA,Course Unavailable at Local School,S216,Approved/Enrolled,13.693333333333333,7.437692307692307,6.053333333333334,0.9258974358974359,39,01,NA,NA,NA,53.30769230769231
