Bb_UserPK,CourseSectionOrigID,TimeSpent
87988,FrScA-S216-02,7.8831
91943,FrScA-S216-02,3429.0336
95919,FrScA-S216-02,1636.5333
96082,FrScA-S216-02,1250.7833
96134,FrScA-S216-02,2047.7501
96142,FrScA-S216-02,1548.7666
96414,FrScA-S216-02,310.9335
96433,FrScA-S216-02,2427.9167
97441,FrScA-S216-02,208.6664
94369,FrScA-S216-03,1753.5833
86002,FrScA-S216-04,501.1839
68598,BioA-S116-01,3331.6169
69937,BioA-S116-01,1.2168
70408,BioA-S116-01,6664.4499
70681,BioA-S116-01,2602.2333
85889,BioA-S116-01,297.5167
86067,BioA-S116-01,516.7003
86580,BioA-S116-01,1076.5339
87552,BioA-S116-01,1496.8001
90253,BioA-S116-01,1803.8334
90430,BioA-S116-01,2252.5
91067,BioA-S116-01,2920.9838
91300,BioA-S116-01,1311.9998
91351,BioA-S116-01,206.2335
91611,BioA-S116-01,616.3672
91624,BioA-S116-01,583.1167
92152,BioA-S116-01,3214.3998
92606,BioA-S116-01,10.1498
87689,BioA-T116-01,1525.0333
92606,BioA-S216-01,306.2668
95707,BioA-S216-01,4034.7502
97374,BioA-S216-01,470.8
52446,PhysA-S116-01,1390.2167
54434,PhysA-S116-01,1231.8666
62576,PhysA-S116-01,793.95
62752,PhysA-S116-01,898.2998
74551,PhysA-S116-01,1014.5665
89994,FrScA-S216-02,2310.3333
91410,FrScA-S216-02,857.6167
91550,FrScA-S216-02,1722.1833
91607,FrScA-S216-02,608.0833
95476,FrScA-S216-02,1038.0003
95923,FrScA-S216-02,1276.7667
95925,FrScA-S216-02,2111.8333
96189,FrScA-S216-02,1268.1002
96280,FrScA-S216-02,914.8667
96769,FrScA-S216-02,510.8667
96841,FrScA-S216-02,1670.95
51943,FrScA-S216-03,3.4501
85348,FrScA-S216-03,608.2501
69544,FrScA-S216-04,2673.3831
85867,FrScA-S216-04,1283.4669
88311,FrScA-S216-04,1660.9829
96048,FrScA-S216-04,1665.1665
61965,BioA-S116-01,615.2168
71434,BioA-S116-01,1006.3337
77169,BioA-S116-01,735.0999
85292,BioA-S116-01,264.2002
86110,BioA-S116-01,3954.2997
86113,BioA-S116-01,63.6837
86130,BioA-S116-01,142.7337
86202,BioA-S116-01,1391.0673
86216,BioA-S116-01,1855.9338
87081,BioA-S116-01,181.5999
88568,BioA-S116-01,1329.3997
89300,BioA-S116-01,1132.1503
90466,BioA-S116-01,658.4165
90995,BioA-S116-01,13.9333
91066,BioA-S116-01,222.9831
92510,BioA-S116-01,295.5494
92633,BioA-S116-01,571.2834
84794,BioA-T116-01,919.5
95658,BioA-S216-01,644.2667
96950,BioA-S216-01,2264.4834
97386,BioA-S216-01,71.0166
48797,PhysA-S116-01,1481.8
55140,PhysA-S116-01,2083.3167
57489,PhysA-S116-01,1863.5169
62754,PhysA-S116-01,674.3167
76426,PhysA-S116-01,850.7329
79352,PhysA-S116-01,1062.8665
79596,PhysA-S116-01,1546.4166
85390,PhysA-S116-01,0.7
85522,PhysA-S116-01,968.3333
85962,PhysA-S116-01,1349.9664
86353,PhysA-S116-01,328.5168
87171,PhysA-S116-01,768.6994
88296,PhysA-S116-01,1190.5998
88381,PhysA-S116-01,1120.367
89295,PhysA-S116-01,532.7998
89425,PhysA-S116-01,2173.1333
89490,PhysA-S116-01,2046.9998
91038,PhysA-S116-01,1639.4498
91633,PhysA-S116-01,1510.7002
92511,PhysA-S116-01,125.0666
92729,PhysA-S116-01,1691.5998
92732,PhysA-S116-01,2199.3
92733,PhysA-S116-01,1020.5828
92743,PhysA-S116-01,1711.0164
67102,PhysA-S216-01,719.2833
70187,PhysA-S216-01,719.1165
78153,PhysA-S216-01,1769.8667
94189,PhysA-S216-01,2321.7998
94251,PhysA-S216-01,4552.0833
95266,PhysA-S216-01,609.7999
95283,PhysA-S216-01,47
95578,PhysA-S216-01,2201.5503
96027,PhysA-S216-01,2363.2667
96090,PhysA-S216-01,112.5167
97150,PhysA-S216-01,759.3335
97265,PhysA-S216-01,817.4501
76133,PhysA-S116-01,1276.5167
79128,PhysA-S116-01,1910.2338
85953,PhysA-S116-01,3255.3003
88091,PhysA-S116-01,262.5502
88481,PhysA-S116-01,642.0504
89395,PhysA-S116-01,2432.7831
90326,PhysA-S116-01,509.5167
90333,PhysA-S116-01,231.7502
91030,PhysA-S116-01,1302.8501
91575,PhysA-S116-01,2219.916
91821,PhysA-S116-01,377.7002
92724,PhysA-S116-01,2700.6668
92725,PhysA-S116-01,2058.4167
92726,PhysA-S116-01,1901.9166
92727,PhysA-S116-01,898
92740,PhysA-S116-01,1272.7001
92741,PhysA-S116-01,5373.3502
66508,PhysA-T116-01,2823.7501
84632,PhysA-T116-01,1289.1006
94970,PhysA-S216-01,2415.2493
96472,PhysA-S216-01,377.3498
96590,PhysA-S216-01,262.1667
96808,PhysA-S216-01,2446.3169
96867,PhysA-S216-01,1841.7836
